"Observation.ID","Observation.Date","Year","Sex","ObsAge","z.Age","ALS","z.ALS","Repro.Stat","Associates","anon_id"
1030,"1989-05-31",1989,"FEMALE",4564,-0.463790998238756,15283,1.16691597387822,"Not Calf",2,"ID1368"
1030,"1989-05-31",1989,"MALE",6055,-0.0829793853346668,7950,-0.721805071511775,"Not Calf",2,"ID1837"
1035,"1989-06-01",1989,"FEMALE",4903,-0.37720807619014,14428,0.946698260280998,"Not Calf",1,"ID1172"
1035,"1989-06-01",1989,"FEMALE",4565,-0.463535591389055,15283,1.16691597387822,"Not Calf",1,"ID1368"
1035,"1989-06-01",1989,"MALE",152,-1.59064601911927,13327,0.663119660666326,"Calf",1,"ID1576"
1035,"1989-06-01",1989,"FEMALE",7883,0.383904335918637,9008,-0.449301748721291,"Not Calf",1,"ID1929"
1037,"1989-06-01",1989,"MALE",238,-1.56868103004499,13390,0.679346229036648,"Calf",2,"ID0324"
1037,"1989-06-01",1989,"FEMALE",10439,1.03672424375422,11362,0.15700526625867,"Not Calf",2,"ID0344"
1037,"1989-06-01",1989,"MALE",7517,0.290425428928096,11913,0.298923348354659,"Not Calf",2,"ID1607"
1037,"1989-06-01",1989,"MALE",6056,-0.0827239784849658,7950,-0.721805071511775,"Not Calf",2,"ID1837"
1039,"1989-06-04",1989,"FEMALE",4906,-0.376441855641038,14428,0.946698260280998,"Not Calf",1,"ID1172"
1039,"1989-06-04",1989,"FEMALE",4568,-0.462769370839953,15283,1.16691597387822,"Not Calf",1,"ID1368"
1040,"1989-06-04",1989,"MALE",241,-1.56791480949589,13390,0.679346229036648,"Calf",1,"ID0324"
1040,"1989-06-04",1989,"FEMALE",10442,1.03749046430332,11362,0.15700526625867,"Not Calf",1,"ID0344"
1042,"1989-06-05",1989,"FEMALE",1677,-1.20115057332535,3608,-1.84015046617745,"Calf",1,"ID1614"
1043,"1989-06-05",1989,"FEMALE",3869,-0.641298758780904,10494,-0.0665607868435417,"Not Calf",2,"ID0858"
1043,"1989-06-05",1989,"FEMALE",3504,-0.734522258921744,14225,0.894412651087739,"Not Calf",2,"ID1638"
1043,"1989-06-05",1989,"FEMALE",2408,-1.01444816619397,5044,-1.47028773316503,"Not Calf",2,"ID1936"
1044,"1989-06-05",1989,"FEMALE",1312,-1.29437407346619,7086,-0.944340866304759,"Calf",3,"ID0082"
1045,"1989-06-05",1989,"MALE",6426,0.011776555904379,12747,0.513732205828443,"Not Calf",2,"ID1023"
1045,"1989-06-05",1989,"MALE",4234,-0.548075258640064,11581,0.213411908688836,"Not Calf",2,"ID1331"
1047,"1989-06-05",1989,"MALE",7521,0.291447056326899,11913,0.298923348354659,"Not Calf",1,"ID1607"
1047,"1989-06-05",1989,"MALE",6060,-0.0817023510861621,7950,-0.721805071511775,"Not Calf",1,"ID1837"
1048,"1989-06-05",1989,"MALE",10443,1.03774587115302,14247,0.900079071788486,"Not Calf",5,"ID0186"
